id,title,year,rating,genre
1,The Shawshank Redemption,1994,9.3,Drama
2,The Godfather,1972,9.2,Crime
3,The Dark Knight,2008,9.0,Action
4,Pulp Fiction,1994,8.9,Crime
5,Forrest Gump,1994,8.8,Drama
6,Inception,2010,8.8,Sci-Fi
7,The Matrix,1999,8.7,Sci-Fi
8,Goodfellas,1990,8.7,Crime
9,Fight Club,1999,8.8,Drama
10,Interstellar,2014,8.7,Sci-Fi
11,The Silence of the Lambs,1991,8.6,Thriller
12,Se7en,1995,8.6,Thriller
13,The Green Mile,1999,8.6,Drama
14,Gladiator,2000,8.5,Action
15,The Departed,2006,8.5,Crime
16,Whiplash,2014,8.5,Drama
17,The Prestige,2006,8.5,Thriller
18,Memento,2000,8.4,Thriller
19,Django Unchained,2012,8.4,Western
20,The Lion King,1994,8.5,Animation
21,Saving Private Ryan,1998,8.6,War
22,Schindlers List,1993,9.0,Drama
23,Spirited Away,2001,8.6,Animation
24,Parasite,2019,8.5,Thriller
25,Joker,2019,8.4,Drama
26,Avengers Endgame,2019,8.4,Action
27,The Truman Show,1998,8.2,Comedy
28,Jurassic Park,1993,8.2,Sci-Fi
29,Back to the Future,1985,8.5,Sci-Fi
30,Alien,1979,8.5,Horror
31,Blade Runner,1982,8.1,Sci-Fi
32,Terminator 2,1991,8.6,Action
33,Die Hard,1988,8.2,Action
34,Titanic,1997,7.9,Romance
35,Avatar,2009,7.9,Sci-Fi
36,The Godfather Part II,1974,9.0,Crime
37,WALL-E,2008,8.4,Animation
38,Finding Nemo,2003,8.2,Animation
39,Toy Story,1995,8.3,Animation
40,Coco,2017,8.4,Animation
41,Mad Max Fury Road,2015,8.1,Action
42,No Country for Old Men,2007,8.2,Thriller
43,There Will Be Blood,2007,8.2,Drama
44,The Social Network,2010,7.8,Drama
45,Gone Girl,2014,8.1,Thriller
46,Shutter Island,2010,8.2,Thriller
47,Inglourious Basterds,2009,8.3,War
48,The Grand Budapest Hotel,2014,8.1,Comedy
49,Ratatouille,2007,8.1,Animation
50,Up,2009,8.3,Animation
51,Quiet Mirage,1986,2.4,Thriller
52,Secret Ember,1955,2.1,Drama
53,Forgotten Mirage IX,1988,6.6,Romance
54,Last Requiem,2022,3.9,Adventure
55,Crimson Echo,2019,9.2,Thriller
56,The Reckoning,1991,2.7,Drama
57,Quiet Tempest,1976,8.6,Documentary
58,Hidden Empire V,1995,8.9,Thriller
59,Burning Voyage VII,2013,3.9,Fantasy
60,Promise of Exile,2023,1.6,Western
61,Phantom of Labyrinth,2014,4.6,Thriller
62,Mirage of Tempest,2022,8.8,Action
63,The Shadow,1990,7.1,Thriller
64,Wild Voyage,1950,1.0,Horror
65,Savage Phantom III,1990,4.7,Western
66,The Bitter Echo,2023,5.4,Crime
67,Legacy of Empire,1975,4.0,Animation
68,Savage Requiem,1993,5.7,Sci-Fi
69,Hollow Exile,2013,4.5,Mystery
70,Burning Dynasty VIII,1975,6.3,Drama
71,Broken Saga IV,1955,8.9,Comedy
72,Dynasty of Legacy,1961,1.6,Sci-Fi
73,Hidden Phantom IX,1988,9.5,Thriller
74,Frozen Odyssey IX,2007,4.6,Adventure
75,Dark Ember,2004,8.4,Horror
76,The Redemption,1992,3.9,Action
77,Ember of Storm,2000,7.2,Mystery
78,Bitter Legacy VIII,1993,7.0,Romance
79,The Paradox,1971,1.6,Adventure
80,The Hollow Mirage,1999,4.0,Sci-Fi
81,Throne of Dynasty,1975,6.7,Documentary
82,The Forgotten Odyssey,2004,1.9,Sci-Fi
83,Final Tempest,2005,2.1,Documentary
84,The Labyrinth,1990,4.0,Sci-Fi
85,Dynasty of Legacy,1967,8.1,Western
86,The Mirage,2005,4.4,Western
87,Twisted Voyage,1984,2.2,Action
88,Iron Legacy,2008,2.5,Action
89,Sacred Phantom,2017,8.3,Adventure
90,Sanctuary of Ember,1968,5.3,Documentary
91,Burning Ember VIII,2010,2.0,Action
92,The Saga,1964,3.0,Mystery
93,Reckoning of Saga,1954,7.1,Animation
94,Secret Echo,1968,1.0,Horror
95,Dark Mirage IX,1974,8.6,Sci-Fi
96,Savage Redemption VI,2000,5.2,Sci-Fi
97,Last Reckoning,2009,3.8,Documentary
98,Kingdom of Requiem,1960,7.7,Comedy
99,Dark Shadow II,2001,7.1,Romance
100,The Eclipse,2009,5.7,Action
101,Dark Exile,1979,3.1,Drama
102,Golden Mirage,1982,6.9,Crime
103,The Burning Harvest,1953,9.4,Western
104,Frontier of Promise,2023,9.8,Sci-Fi
105,The Frozen Throne,2015,2.8,Sci-Fi
106,The Promise,1989,5.5,Mystery
107,The Awakening,1961,8.5,Horror
108,Wild Tempest,1981,4.2,Documentary
109,The Storm,2005,4.9,Comedy
110,Hidden Shadow IX,1955,1.3,Mystery
111,The Bitter Paradox,1968,9.9,Comedy
112,Secret Covenant,1970,7.8,Fantasy
113,Bitter Shadow,1958,4.8,Animation
114,The Sanctuary,2014,8.5,Action
115,Legacy of Labyrinth,2015,4.3,Documentary
116,Covenant of Throne,1970,3.3,Romance
117,Dark Labyrinth,1994,4.3,Comedy
118,Final Awakening V,1958,4.5,Adventure
119,Broken Reckoning III,2013,5.3,Western
120,The Wild Harvest,1958,2.9,Romance
121,The Frozen Storm,2000,1.6,Comedy
122,The Eternal Empire,1956,6.9,Crime
123,Crimson Harvest VI,1964,1.2,Drama
124,The Voyage,1983,8.3,Mystery
125,The Saga,2009,4.4,Animation
126,Dawn of Reckoning,1978,8.8,Fantasy
127,Legacy of Voyage,1978,7.8,Adventure
128,The Eclipse,1955,1.0,Crime
129,Hidden Exile IV,1979,9.1,Crime
130,Golden Echo VII,1979,3.5,Sci-Fi
131,Dynasty of Sanctuary,1992,9.9,Documentary
132,The Twisted Mirage,1982,4.2,Western
133,The Hidden Labyrinth,1951,6.0,Mystery
134,The Eternal Saga,1988,4.8,Horror
135,Crimson Sanctuary,1991,7.1,Comedy
136,Sacred Kingdom III,1964,2.7,Mystery
137,The Shadow,1951,4.7,Documentary
138,The Savage Exile,1989,3.1,War
139,Golden Ember,2018,6.7,Drama
140,The Kingdom,2023,2.0,Romance
141,The Secret Storm,1973,3.0,Adventure
142,Phantom of Odyssey,1956,6.3,Sci-Fi
143,The Reckoning,2006,8.7,War
144,Hollow Requiem VI,2022,7.7,Romance
145,Reckoning of Exile,1959,1.3,Mystery
146,Crimson Reckoning,2012,3.7,Adventure
147,The Throne,1985,9.5,Comedy
148,The Forgotten Tempest,1984,9.2,Romance
149,The Eclipse,1961,5.9,Sci-Fi
150,Distant Exile,2010,7.3,Animation
151,Wild Reckoning V,2009,8.0,Documentary
152,The Covenant,1979,4.0,Action
153,The Golden Redemption,2022,2.2,War
154,The Awakening,1953,6.3,Action
155,The Eternal Eclipse,1965,9.1,Crime
156,Scarlet Requiem,2016,6.2,War
157,Final Eclipse IX,2020,8.2,Crime
158,The Shadow,2019,7.3,Adventure
159,The Eclipse,1958,5.4,Crime
160,Ember of Covenant,1966,4.9,Documentary
161,The Harvest,1993,1.5,Sci-Fi
162,Odyssey of Saga,1971,1.3,Thriller
163,Reckoning of Promise,2020,3.8,Action
164,Hidden Kingdom VIII,1992,4.0,War
165,Dark Odyssey VIII,2020,2.7,Documentary
166,The Frozen Redemption,1999,1.0,Comedy
167,The Velvet Ember,1993,1.7,Horror
168,Kingdom of Frontier,1984,3.0,Action
169,The Odyssey,1999,9.5,Comedy
170,The Reckoning,1993,7.7,Drama
171,The Kingdom,2006,9.2,Crime
172,Endless Awakening,1974,6.4,Western
173,Frozen Legacy VI,1985,7.1,Action
174,Bitter Sanctuary VI,1972,6.4,Animation
175,The Hidden Ember,1955,2.2,Drama
176,Covenant of Throne,1993,6.9,War
177,Final Dynasty,1978,5.0,Action
178,The Eternal Voyage,1952,5.6,Comedy
179,Savage Odyssey VII,2022,5.6,Animation
180,The Broken Horizon,1981,8.2,Documentary
181,Golden Mirage VI,1973,8.1,Adventure
182,Shattered Odyssey VIII,1980,4.5,Crime
183,Throne of Redemption,1978,6.8,Mystery
184,The Legacy,1995,5.6,Animation
185,The Broken Eclipse,2016,7.1,Documentary
186,Distant Dynasty VI,2021,1.4,Mystery
187,Eternal Exile V,1970,1.1,Fantasy
188,The Mirage,1981,3.5,Crime
189,The Iron Tempest,1952,6.7,Mystery
190,Shadow of Phantom,1999,6.7,Animation
191,Radiant Sanctuary,2020,8.2,Documentary
192,Frontier of Covenant,1996,4.4,Horror
193,Hollow Eclipse VI,2013,4.1,Crime
194,The Wild Labyrinth,2016,2.0,Crime
195,Labyrinth of Tempest,1978,9.8,Western
196,The Covenant,1969,4.6,Thriller
197,Ember of Sanctuary,1995,8.5,War
198,Storm of Frontier,1977,2.8,Animation
199,Twisted Horizon V,1993,9.1,Crime
200,The Shadow,1982,8.4,Sci-Fi
201,Iron Shadow,1999,7.4,Drama
202,The Quiet Odyssey,1993,2.1,Action
203,The Frozen Harvest,2007,3.9,Animation
204,The Sacred Paradox,1953,8.8,Horror
205,The Secret Tempest,2003,2.6,Action
206,The Empire,2017,4.0,Horror
207,Sacred Phantom V,1982,6.2,Fantasy
208,The Voyage,2014,1.8,Animation
209,Twisted Voyage,2017,4.3,Mystery
210,Velvet Legacy,2023,7.1,Western
211,The Echo,1955,4.4,Comedy
212,The Shadow,1967,5.1,Drama
213,Dark Odyssey IV,1966,2.7,Animation
214,Quiet Sanctuary VII,2005,6.7,Mystery
215,Eternal Saga III,2013,5.6,Thriller
216,Lost Eclipse,1962,2.3,Romance
217,The Eclipse,2020,7.9,War
218,The Shadow,1953,3.6,Comedy
219,Wild Saga,1957,3.8,Horror
220,Hidden Sanctuary,1998,4.0,Romance
221,Burning Saga,1979,9.5,Mystery
